# 1st line: number of mesh points
# rho and r_seitz are calculated from total density
# zeta and r_seitz only correct of rho > 1d-12

# abcissa weight rho drho ddrho zeta r_seitz
500
  9.830308526508E-006  1.966074589941E-005  3.934342004393E+003 -6.330770471044E+004  1.035850476194E+006  2.257357330119E-013  9.135865875936E-002
  3.932200719717E-005  3.932303800261E-005  3.932475403040E+003 -6.327716321226E+004  1.035342447834E+006  2.256694230227E-013  9.137311133730E-002
  8.847741541455E-005  5.898842277178E-005  3.929366238736E+003 -6.322629133200E+004  1.034496253179E+006  2.252693347275E-013  9.139720505460E-002
  1.573003992804E-004  7.865844718600E-005  3.925017265772E+003 -6.315513494982E+004  1.033312670368E+006  2.248817134559E-013  9.143094904698E-002
  2.457963722417E-004  9.833465899987E-005  3.919432334886E+003 -6.306375820825E+004  1.031792787247E+006  2.242159528476E-013  9.147435611370E-002
  3.539722959954E-004  1.180186070023E-004  3.912616388002E+003 -6.295224342267E+004  1.029937999808E+006  2.236186266020E-013  9.152744272677E-002
  4.818366816528E-004  1.377118412759E-004  3.904575451489E+003 -6.282069096651E+004  1.027750010212E+006  2.227397880706E-013  9.159022904292E-002
  6.293995911626E-004  1.574159134560E-004  3.895316627937E+003 -6.266921913135E+004  1.025230824360E+006  2.216348318045E-013  9.166273891814E-002
  7.966726389934E-004  1.771323769912E-004  3.884848086475E+003 -6.249796396218E+004  1.022382749040E+006  2.205347519386E-013  9.174499992498E-002
  9.836689940782E-004  1.968627874036E-004  3.873179051654E+003 -6.230707906812E+004  1.019208388656E+006  2.194380346150E-013  9.183704337253E-002
  1.190403382016E-003  2.166087025496E-004  3.860319790890E+003 -6.209673540892E+004  1.015710641522E+006  2.181075055371E-013  9.193890432912E-002
  1.416892087541E-003  2.363716828821E-004  3.846281600519E+003 -6.186712105761E+004  1.011892695765E+006  2.165389484317E-013  9.205062164782E-002
  1.663152957245E-003  2.561532917128E-004  3.831076790468E+003 -6.161844093983E+004  1.007758024802E+006  2.152024071166E-013  9.217223799469E-002
  1.929205402573E-003  2.759550954757E-004  3.814718667573E+003 -6.135091655014E+004  1.003310382439E+006  2.133238268208E-013  9.230379987983E-002
  2.215070403074E-003  2.957786639908E-004  3.797221517580E+003 -6.106478564593E+004  9.985537975707E+005  2.114924867953E-013  9.244535769134E-002
  2.520770509919E-003  3.156255707300E-004  3.778600585852E+003 -6.076030191947E+004  9.934925685085E+005  2.095260189335E-013  9.259696573211E-002
  2.846329849692E-003  3.354973930828E-004  3.758872056822E+003 -6.043773464859E+004  9.881312569377E+005  2.074802480587E-013  9.275868225959E-002
  3.191774128432E-003  3.553957126240E-004  3.738053032218E+003 -6.009736832676E+004  9.824746815208E+005  2.051686802354E-013  9.293056952845E-002
  3.557130635959E-003  3.753221153821E-004  3.716161508111E+003 -5.973950227312E+004  9.765279111547E+005  2.028285725605E-013  9.311269383637E-002
  3.942428250463E-003  3.952781921092E-004  3.693216350816E+003 -5.936445022309E+004  9.702962578955E+005  2.004563548192E-013  9.330512557286E-002
  4.347697443358E-003  4.152655385525E-004  3.669237271693E+003 -5.897253990054E+004  9.637852695633E+005  1.977384793120E-013  9.350793927113E-002
  4.772970284417E-003  4.352857557265E-004  3.644244800883E+003 -5.856411257193E+004  9.570007220406E+005  1.953510306553E-013  9.372121366329E-002
  5.218280447175E-003  4.553404501876E-004  3.618260260037E+003 -5.813952258348E+004  9.499486112780E+005  1.925436235897E-013  9.394503173867E-002
  5.683663214611E-003  4.754312343099E-004  3.591305734074E+003 -5.769913688208E+004  9.426351450212E+005  1.897468374352E-013  9.417948080552E-002
  6.169155485101E-003  4.955597265624E-004  3.563404042023E+003 -5.724333452072E+004  9.350667342751E+005  1.868298160541E-013  9.442465255608E-002
  6.674795778653E-003  5.157275517886E-004  3.534578706994E+003 -5.677250614945E+004  9.272499845186E+005  1.837218154970E-013  9.468064313510E-002
  7.200624243425E-003  5.359363414876E-004  3.504853925330E+003 -5.628705349258E+004  9.191916866877E+005  1.802846730616E-013  9.494755321187E-002
  7.746682662519E-003  5.561877340970E-004  3.474254535001E+003 -5.578738881321E+004  9.108988079410E+005  1.772259075716E-013  9.522548805594E-002
  8.313014461060E-003  5.764833752781E-004  3.442805983276E+003 -5.527393436590E+004  9.023784822258E+005  1.740896848035E-013  9.551455761642E-002
  8.899664713569E-003  5.968249182030E-004  3.410534293750E+003 -5.474712183842E+004  8.936380006595E+005  1.704702073144E-013  9.581487660521E-002
  9.506680151615E-003  6.172140238444E-004  3.377466032757E+003 -5.420739178365E+004  8.846848017450E+005  1.669555547355E-013  9.612656458399E-002
  1.013410917176E-002  6.376523612666E-004  3.343628275247E+003 -5.365519304249E+004  8.755264614361E+005  1.632049905498E-013  9.644974605526E-002
  1.078200184380E-002  6.581416079202E-004  3.309048570175E+003 -5.309098215881E+004  8.661706830705E+005  1.597570371648E-013  9.678455055746E-002
  1.145040991929E-002  6.786834499385E-004  3.273754905453E+003 -5.251522278748E+004  8.566252871885E+005  1.557841587865E-013  9.713111276427E-002
  1.213938684040E-002  6.992795824361E-004  3.237775672536E+003 -5.192838509638E+004  8.468982012537E+005  1.519674873812E-013  9.748957258821E-002
  1.284898774901E-002  7.199317098113E-004  3.201139630694E+003 -5.133094516352E+004  8.369974492947E+005  1.481664474823E-013  9.786007528871E-002
  1.357926949620E-002  7.406415460502E-004  3.163875871026E+003 -5.072338437024E+004  8.269311414854E+005  1.440185595652E-013  9.824277158469E-002
