481
   4.651972379271E-01   1.559868507837E-01   2.431473862300E-01   6.989892717210E-01   7.657389680724E-01
   4.641842089524E-01   1.601861894257E-01   2.547779160233E-01   6.892887575557E-01   7.623308554559E-01
   4.632575290666E-01   1.639740524280E-01   2.663133783325E-01   6.792404219647E-01   7.587836788475E-01
   4.624211459678E-01   1.673505272833E-01   2.777466036929E-01   6.688588201432E-01   7.551007703817E-01
   4.616779163652E-01   1.703169072519E-01   2.890704035114E-01   6.581585959351E-01   7.512855152881E-01
   4.610296786087E-01   1.728756014142E-01   3.002776036114E-01   6.471544435732E-01   7.473413440440E-01
   4.604773266115E-01   1.750300478879E-01   3.113610760830E-01   6.358610723559E-01   7.432717249220E-01
   4.600208839493E-01   1.767846304479E-01   3.223137692430E-01   6.242931741955E-01   7.390801569392E-01
   4.596595772291E-01   1.781445987129E-01   3.331287355604E-01   6.124653939532E-01   7.347701632082E-01
   4.593919080027E-01   1.791159919952E-01   3.437991574492E-01   6.003923024527E-01   7.303452846876E-01
   4.592157226531E-01   1.797055668600E-01   3.543183708736E-01   5.880883720550E-01   7.258090743259E-01
   4.591282798124E-01   1.799207284003E-01   3.646798867418E-01   5.755679546609E-01   7.211650915897E-01
   4.591263149781E-01   1.797694651947E-01   3.748774101004E-01   5.628452620053E-01   7.164168973677E-01
   4.592061020890E-01   1.792602878944E-01   3.849048571606E-01   5.499343480974E-01   7.115680492364E-01
   4.593635118990E-01   1.784021713579E-01   3.947563702150E-01   5.368490936629E-01   7.066220970745E-01
   4.595940670516E-01   1.772045002391E-01   4.044263305155E-01   5.236031924407E-01   7.015825790117E-01
   4.598929938118E-01   1.756770179194E-01   4.139093692003E-01   5.102101391909E-01   6.964530176963E-01
   4.602552704553E-01   1.738297786644E-01   4.232003763663E-01   4.966832192701E-01   6.912369168648E-01
   4.606756723525E-01   1.716731028792E-01   4.322945083927E-01   4.830354996387E-01   6.859377581987E-01
   4.611488138117E-01   1.692175353296E-01   4.411871936244E-01   4.692798211664E-01   6.805589984508E-01
   4.616691867689E-01   1.664738061971E-01   4.498741365303E-01   4.554287921093E-01   6.751040668250E-01
   4.622311964317E-01   1.634527948282E-01   4.583513204494E-01   4.414947826390E-01   6.695763625941E-01
   4.628291939938E-01   1.601654960450E-01   4.666150090396E-01   4.274899203107E-01   6.639792529380E-01
   4.634575065495E-01   1.566229888792E-01   4.746617465425E-01   4.134260863637E-01   6.583160709894E-01
   4.641104643438E-01   1.528364075988E-01   4.824883569722E-01   3.993149127572E-01   6.525901140690E-01
   4.647824254952E-01   1.488169148943E-01   4.900919423367E-01   3.851677798490E-01   6.468046420987E-01
   4.654677983322E-01   1.445756771004E-01   4.974698799930E-01   3.709958146355E-01   6.409628761767E-01
   4.661610614845E-01   1.401238413272E-01   5.046198192327E-01   3.568098894747E-01   6.350679973029E-01
   4.668567818663E-01   1.354725143847E-01   5.115396771911E-01   3.426206212254E-01   6.291231452408E-01
   4.675496306884E-01   1.306327433860E-01   5.182276341664E-01   3.284383707402E-01   6.231314175059E-01
   4.682343976320E-01   1.256154979193E-01   5.246821284287E-01   3.142732426551E-01   6.170958684671E-01
   4.689060033103E-01   1.204316536872E-01   5.309018505962E-01   3.001350854303E-01   6.110195085535E-01
   4.695595101433E-01   1.150919775126E-01   5.368857376462E-01   2.860334915963E-01   6.049053035548E-01
   4.701901317614E-01   1.096071136204E-01   5.426329666256E-01   2.719777981696E-01   5.987561740073E-01
   4.707932410518E-01   1.039875711053E-01   5.481429481200E-01   2.579770872057E-01   5.925749946574E-01
   4.713643769524E-01   9.824371250453E-02   5.534153195328E-01   2.440401864624E-01   5.863645939944E-01
   4.718992500954E-01   9.238574339781E-02   5.584499382240E-01   2.301756701516E-01   5.801277538461E-01
   4.723937473944E-01   8.642370296223E-02   5.632468745504E-01   2.163918597600E-01   5.738672090310E-01
   4.728439356639E-01   8.036745541495E-02   5.678064048463E-01   2.026968249253E-01   5.675856470610E-01
   4.732460643567E-01   7.422668228088E-02   5.721290043785E-01   1.890983843568E-01   5.612857078895E-01
   4.735965674940E-01   6.801087542758E-02   5.762153403053E-01   1.756041067911E-01   5.549699837003E-01
   4.738920648637E-01   6.172933081342E-02   5.800662646659E-01   1.622213119791E-01   5.486410187334E-01
   4.741293625537E-01   5.539114289952E-02   5.836828074222E-01   1.489570717009E-01   5.423013091436E-01
   4.743054528825E-01   4.900519967975E-02   5.870661695734E-01   1.358182108064E-01   5.359533028889E-01
   4.744175137856E-01   4.258017828671E-02   5.902177163577E-01   1.228113082847E-01   5.295993996462E-01
   4.744629077125E-01   3.612454113507E-02   5.931389705571E-01   1.099426983629E-01   5.232419507509E-01
   4.744391800819E-01   2.964653256685E-02   5.958316059141E-01   9.721847163869E-02   5.168832591592E-01
   4.743440573435E-01   2.315417596622E-02   5.982974406712E-01   8.464447625099E-02   5.105255794310E-01
   4.741754446865E-01   1.665527131399E-02   6.005384312379E-01   7.222631909453E-02   5.041711177317E-01
   4.739314234343E-01   1.015739315482E-02   6.025566659927E-01   5.996936708378E-02   4.978220318517E-01
   4.736102481611E-01   3.667888952081E-03   6.043543592217E-01   4.787874847291E-02   4.914804312432E-01
   4.732103435630E-01  -2.806122192265E-03   6.059338451972E-01   3.595935423831E-02   4.851483770722E-01
   4.727303011130E-01  -9.257750473515E-03   6.072975723968E-01   2.421583953024E-02   4.788278822863E-01
   4.721688755276E-01  -1.568033599502E-02   6.084480978632E-01   1.265262520035E-02   4.725209116973E-01
