# 1st line: number of mesh points
# abcissa weight nuclear coulomb dft-vxc_up dft-vxc_down
500
  9.830308526508E-006  1.966074589941E-005 -1.017262069958E+005  9.516289649497E-001 -1.908084843027E+003 -1.935460314202E+003
  3.932200719717E-005  3.932303800261E-005 -2.543105175140E+004  9.516289640734E-001 -4.775628571789E+002 -4.844032793988E+002
  8.847741541455E-005  5.898842277178E-005 -1.130231930165E+004  9.516289601975E-001 -2.126513574667E+002 -2.156889929696E+002
  1.573003992804E-004  7.865844718600E-005 -6.357262947674E+003  9.516289497276E-001 -1.199323079352E+002 -1.216389682368E+002
  2.457963722417E-004  9.833465899987E-005 -4.068408296184E+003  9.516289276473E-001 -7.701660655380E+001 -7.810721564076E+001
  3.539722959954E-004  1.180186070023E-004 -2.825079847529E+003  9.516288874878E-001 -5.370434502778E+001 -5.446030918466E+001
  4.818366816528E-004  1.377118412759E-004 -2.075392011604E+003  9.516288213508E-001 -3.964775671118E+001 -4.020194071142E+001
  6.293995911626E-004  1.574159134560E-004 -1.588815776243E+003  9.516287198944E-001 -3.052445945331E+001 -3.094768055824E+001
  7.966726389934E-004  1.771323769912E-004 -1.255220715580E+003  9.516285723368E-001 -2.426952536107E+001 -2.460295892768E+001
  9.836689940782E-004  1.968627874036E-004 -1.016602135495E+003  9.516283664586E-001 -1.979537568355E+001 -2.006458494727E+001
  1.190403382016E-003  2.166087025496E-004 -8.400513767914E+002  9.516280885958E-001 -1.648497831481E+001 -1.670666905576E+001
  1.416892087541E-003  2.363716828821E-004 -7.057700503752E+002  9.516277236436E-001 -1.396711661847E+001 -1.415266582640E+001
  1.663152957245E-003  2.561532917128E-004 -6.012676077950E+002  9.516272550531E-001 -1.200759480230E+001 -1.216501760182E+001
  1.929205402573E-003  2.759550954757E-004 -5.183481233601E+002  9.516266648296E-001 -1.045274056435E+001 -1.058784612436E+001
  2.215070403074E-003  2.957786639908E-004 -4.514529193349E+002  9.516259335311E-001 -9.198329580114E+000 -9.315430936279E+000
  2.520770509919E-003  3.156255707300E-004 -3.967041014106E+002  9.516250402675E-001 -8.171651945436E+000 -8.274018387643E+000
  2.846329849692E-003  3.354973930828E-004 -3.513296254502E+002  9.516239626963E-001 -7.320732269846E+000 -7.410886984784E+000
  3.191774128432E-003  3.553957126240E-004 -3.133053780630E+002  9.516226770242E-001 -6.607618744501E+000 -6.687540123265E+000
  3.557130635959E-003  3.753221153821E-004 -2.811254638474E+002  9.516211580018E-001 -6.004076064691E+000 -6.075337182572E+000
  3.942428250463E-003  3.952781921092E-004 -2.536507797910E+002  9.516193789236E-001 -5.488746224027E+000 -5.552613563684E+000
  4.347697443358E-003  4.152655385525E-004 -2.300068054477E+002  9.516173116237E-001 -5.045232096603E+000 -5.102736761187E+000
  4.772970284417E-003  4.352857557265E-004 -2.095131417987E+002  9.516149264755E-001 -4.660776301885E+000 -4.712766263351E+000
  5.218280447175E-003  4.553404501876E-004 -1.916340085825E+002  9.516121923872E-001 -4.325333037565E+000 -4.372512061209E+000
  5.683663214611E-003  4.754312343099E-004 -1.759428668168E+002  9.516090768005E-001 -4.030904757494E+000 -4.073861804544E+000
  6.169155485101E-003  4.955597265624E-004 -1.620967411853E+002  9.516055456864E-001 -3.771060720540E+000 -3.810292439545E+000
  6.674795778653E-003  5.157275517886E-004 -1.498173177370E+002  9.516015635436E-001 -3.540582575471E+000 -3.576510706089E+000
  7.200624243425E-003  5.359363414876E-004 -1.388768482001E+002  9.515970933947E-001 -3.335200069087E+000 -3.368185051977E+000
  7.746682662519E-003  5.561877340970E-004 -1.290875131414E+002  9.515920967831E-001 -3.151391607164E+000 -3.181743330946E+000
  8.313014461060E-003  5.764833752781E-004 -1.202933069206E+002  9.515865337700E-001 -2.986232098643E+000 -3.014218462667E+000
  8.899664713569E-003  5.968249182030E-004 -1.123637836013E+002  9.515803629309E-001 -2.837275692456E+000 -2.863129486271E+000
  9.506680151615E-003  6.172140238444E-004 -1.051891916055E+002  9.515735413514E-001 -2.702464553080E+000 -2.726389026379E+000
  1.013410917176E-002  6.376523612666E-004 -9.867665554529E+001  9.515660246253E-001 -2.580057270495E+000 -2.602230675390E+000
  1.078200184380E-002  6.581416079202E-004 -9.274715535088E+001  9.515577668489E-001 -2.468572219304E+000 -2.489151539527E+000
  1.145040991929E-002  6.786834499385E-004 -8.733311794503E+001  9.515487206188E-001 -2.366742403029E+000 -2.385866434921E+000
  1.213938684040E-002  6.992795824361E-004 -8.237648351994E+001  9.515388370268E-001 -2.273479197102E+000 -2.291271110141E+000
  1.284898774901E-002  7.199317098113E-004 -7.782714245929E+001  9.515280656565E-001 -2.187843041406E+000 -2.204412518025E+000
  1.357926949620E-002  7.406415460502E-004 -7.364166388185E+001  9.515163545795E-001 -2.109019600674E+000 -2.124464633861E+000
  1.433029065191E-002  7.614108150341E-004 -6.978225524452E+001  9.515036503501E-001 -2.036300257206E+000 -2.050708668085E+000
  1.510211151509E-002  7.822412508494E-004 -6.621590623276E+001  9.514898980023E-001 -1.969066058959E+000 -1.982516783938E+000
  1.589479412397E-002  8.031345981016E-004 -6.291368055481E+001  9.514750410445E-001 -1.906774440796E+000 -1.919338628109E+000
  1.670840226680E-002  8.240926122311E-004 -5.985012714155E+001  9.514590214553E-001 -1.848948184583E+000 -1.860690132345E+000
  1.754300149280E-002  8.451170598329E-004 -5.700278828629E+001  9.514417796788E-001 -1.795166196884E+000 -1.806144158768E+000
  1.839865912351E-002  8.662097189796E-004 -5.435178690397E+001  9.514232546205E-001 -1.745055770141E+000 -1.755322649963E+000
