# 1st line: number of mesh points
# rho and r_seitz are calculated from total density
# zeta and r_seitz only correct of rho > 1d-12

# abcissa weight rho drho ddrho zeta r_seitz
500
  9.830308526508E-006  1.966074589941E-005  1.763294113103E+002 -1.075887843891E+003  6.854429837577E+003  1.600919457900E-002  2.571967633879E-001
  3.932200719717E-005  3.932303800261E-005  1.762976845309E+002 -1.075685714868E+003  6.853090103940E+003  1.600914934126E-002  2.572121909597E-001
  8.847741541455E-005  5.898842277178E-005  1.762448170390E+002 -1.075348903297E+003  6.850857699625E+003  1.600907386577E-002  2.572379067116E-001
  1.573003992804E-004  7.865844718600E-005  1.761708245412E+002 -1.074877514350E+003  6.847733352042E+003  1.600896803360E-002  2.572739153436E-001
  2.457963722417E-004  9.833465899987E-005  1.760757290186E+002 -1.074271695210E+003  6.843718079146E+003  1.600883167817E-002  2.573202234376E-001
  3.539722959954E-004  1.180186070023E-004  1.759595587188E+002 -1.073531635013E+003  6.838813189012E+003  1.600866458506E-002  2.573768394608E-001
  4.818366816528E-004  1.377118412759E-004  1.758223481449E+002 -1.072657564774E+003  6.833020279300E+003  1.600846649199E-002  2.574437737683E-001
  6.293995911626E-004  1.574159134560E-004  1.756641380434E+002 -1.071649757293E+003  6.826341236593E+003  1.600823708855E-002  2.575210386071E-001
  7.966726389934E-004  1.771323769912E-004  1.754849753884E+002 -1.070508527053E+003  6.818778235614E+003  1.600797601606E-002  2.576086481211E-001
  9.836689940782E-004  1.968627874036E-004  1.752849133648E+002 -1.069234230091E+003  6.810333738333E+003  1.600768286732E-002  2.577066183557E-001
  1.190403382016E-003  2.166087025496E-004  1.750640113481E+002 -1.067827263859E+003  6.801010492945E+003  1.600735718635E-002  2.578149672648E-001
  1.416892087541E-003  2.363716828821E-004  1.748223348823E+002 -1.066288067070E+003  6.790811532736E+003  1.600699846810E-002  2.579337147168E-001
  1.663152957245E-003  2.561532917128E-004  1.745599556560E+002 -1.064617119521E+003  6.779740174827E+003  1.600660615812E-002  2.580628825026E-001
  1.929205402573E-003  2.759550954757E-004  1.742769514753E+002 -1.062814941905E+003  6.767800018802E+003  1.600617965223E-002  2.582024943436E-001
  2.215070403074E-003  2.957786639908E-004  1.739734062352E+002 -1.060882095609E+003  6.754994945219E+003  1.600571829610E-002  2.583525759010E-001
  2.520770509919E-003  3.156255707300E-004  1.736494098880E+002 -1.058819182485E+003  6.741329114002E+003  1.600522138484E-002  2.585131547852E-001
  2.846329849692E-003  3.354973930828E-004  1.733050584103E+002 -1.056626844619E+003  6.726806962720E+003  1.600468816256E-002  2.586842605666E-001
  3.191774128432E-003  3.553957126240E-004  1.729404537669E+002 -1.054305764076E+003  6.711433204747E+003  1.600411782186E-002  2.588659247867E-001
  3.557130635959E-003  3.753221153821E-004  1.725557038731E+002 -1.051856662627E+003  6.695212827311E+003  1.600350950334E-002  2.590581809700E-001
  3.942428250463E-003  3.952781921092E-004  1.721509225542E+002 -1.049280301466E+003  6.678151089422E+003  1.600286229501E-002  2.592610646374E-001
  4.347697443358E-003  4.152655385525E-004  1.717262295032E+002 -1.046577480909E+003  6.660253519691E+003  1.600217523176E-002  2.594746133189E-001
  4.772970284417E-003  4.352857557265E-004  1.712817502363E+002 -1.043749040078E+003  6.641525914040E+003  1.600144729465E-002  2.596988665688E-001
  5.218280447175E-003  4.553404501876E-004  1.708176160458E+002 -1.040795856565E+003  6.621974333290E+003  1.600067741035E-002  2.599338659802E-001
  5.683663214611E-003  4.754312343099E-004  1.703339639512E+002 -1.037718846087E+003  6.601605100643E+003  1.599986445038E-002  2.601796552017E-001
  6.169155485101E-003  4.955597265624E-004  1.698309366480E+002 -1.034518962125E+003  6.580424799057E+003  1.599900723038E-002  2.604362799535E-001
  6.674795778653E-003  5.157275517886E-004  1.693086824542E+002 -1.031197195538E+003  6.558440268504E+003  1.599810450940E-002  2.607037880455E-001
  7.200624243425E-003  5.359363414876E-004  1.687673552550E+002 -1.027754574180E+003  6.535658603123E+003  1.599715498903E-002  2.609822293957E-001
  7.746682662519E-003  5.561877340970E-004  1.682071144452E+002 -1.024192162482E+003  6.512087148271E+003  1.599615731260E-002  2.612716560493E-001
  8.313014461060E-003  5.764833752781E-004  1.676281248691E+002 -1.020511061036E+003  6.487733497453E+003  1.599511006428E-002  2.615721221993E-001
  8.899664713569E-003  5.968249182030E-004  1.670305567590E+002 -1.016712406152E+003  6.462605489162E+003  1.599401176817E-002  2.618836842072E-001
  9.506680151615E-003  6.172140238444E-004  1.664145856714E+002 -1.012797369409E+003  6.436711203607E+003  1.599286088731E-002  2.622064006252E-001
  1.013410917176E-002  6.376523612666E-004  1.657803924207E+002 -1.008767157187E+003  6.410058959336E+003  1.599165582273E-002  2.625403322193E-001
  1.078200184380E-002  6.581416079202E-004  1.651281630116E+002 -1.004623010184E+003  6.382657309762E+003  1.599039491237E-002  2.628855419923E-001
  1.145040991929E-002  6.786834499385E-004  1.644580885687E+002 -1.000366202926E+003  6.354515039585E+003  1.598907642998E-002  2.632420952097E-001
  1.213938684040E-002  6.992795824361E-004  1.637703652650E+002 -9.959980432520E+002  6.325641161116E+003  1.598769858403E-002  2.636100594242E-001
  1.284898774901E-002  7.199317098113E-004  1.630651942476E+002 -9.915198717963E+002  6.296044910502E+003  1.598625951653E-002  2.639895045035E-001
  1.357926949620E-002  7.406415460502E-004  1.623427815623E+002 -9.869330614488E+002  6.265735743854E+003  1.598475730175E-002  2.643805026572E-001
