# 1st line: number of mesh points
# abcissa weight nuclear coulomb dft-vxc_up dft-vxc_down
500
  9.830308526508E-006  1.966074589941E-005 -3.051786209874E+005  5.708883952208E+000 -2.599678169517E+003 -2.633125421135E+003
  3.932200719717E-005  3.932303800261E-005 -7.629315525419E+004  5.708883909762E+000 -6.517822745674E+002 -6.601253933268E+002
  8.847741541455E-005  5.898842277178E-005 -3.390695790495E+004  5.708883725176E+000 -2.910605956649E+002 -2.947548031269E+002
  1.573003992804E-004  7.865844718600E-005 -1.907178884302E+004  5.708883228304E+000 -1.648077518824E+002 -1.668748429832E+002
  2.457963722417E-004  9.833465899987E-005 -1.220522488855E+004  5.708882180860E+000 -1.063704403067E+002 -1.076844118222E+002
  3.539722959954E-004  1.180186070023E-004 -8.475239542586E+003  5.708880276705E+000 -7.462641738031E+001 -7.553128991704E+001
  4.818366816528E-004  1.377118412759E-004 -6.226176034812E+003  5.708877141828E+000 -5.548546218430E+001 -5.614366408449E+001
  6.293995911626E-004  1.574159134560E-004 -4.766447328729E+003  5.708872334847E+000 -4.306192603369E+001 -4.356003244456E+001
  7.966726389934E-004  1.771323769912E-004 -3.765662146739E+003  5.708865346997E+000 -3.454406308870E+001 -3.493241187611E+001
  9.836689940782E-004  1.968627874036E-004 -3.049806406485E+003  5.708855602465E+000 -2.845095240045E+001 -2.876079558364E+001
  1.190403382016E-003  2.166087025496E-004 -2.520154130374E+003  5.708842458691E+000 -2.394240125464E+001 -2.419416259776E+001
  1.416892087541E-003  2.363716828821E-004 -2.117310151125E+003  5.708825206679E+000 -2.051293595958E+001 -2.072052477094E+001
  1.663152957245E-003  2.561532917128E-004 -1.803802823385E+003  5.708803071339E+000 -1.784365970477E+001 -1.801687540652E+001
  1.929205402573E-003  2.759550954757E-004 -1.555044370080E+003  5.708775211934E+000 -1.572532193172E+001 -1.587126716113E+001
  2.215070403074E-003  2.957786639908E-004 -1.354358758005E+003  5.708740722447E+000 -1.401600380777E+001 -1.413995217652E+001
  2.520770509919E-003  3.156255707300E-004 -1.190112304232E+003  5.708698632090E+000 -1.261669867840E+001 -1.272264781703E+001
  2.846329849692E-003  3.354973930828E-004 -1.053988876351E+003  5.708647905772E+000 -1.145663341507E+001 -1.154766884161E+001
  3.191774128432E-003  3.553957126240E-004 -9.399161341890E+002  5.708587444639E+000 -1.048413035499E+001 -1.056267157380E+001
  3.557130635959E-003  3.753221153821E-004 -8.433763915423E+002  5.708516086641E+000 -9.660742492205E+000 -9.728713508320E+000
  3.942428250463E-003  3.952781921092E-004 -7.609523393729E+002  5.708432607108E+000 -8.957387422437E+000 -9.016337430809E+000
  4.347697443358E-003  4.152655385525E-004 -6.900204163432E+002  5.708335719397E+000 -8.351737818557E+000 -8.402928262213E+000
  4.772970284417E-003  4.352857557265E-004 -6.285394253961E+002  5.708224075537E+000 -7.826422483415E+000 -7.870890927121E+000
  5.218280447175E-003  4.553404501876E-004 -5.749020257475E+002  5.708096266943E+000 -7.367762494516E+000 -7.406370210084E+000
  5.683663214611E-003  4.754312343099E-004 -5.278286004504E+002  5.707950825112E+000 -6.964867979702E+000 -6.998335890714E+000
  6.169155485101E-003  4.955597265624E-004 -4.862902235558E+002  5.707786222406E+000 -6.608982540638E+000 -6.637918718209E+000
  6.674795778653E-003  5.157275517886E-004 -4.494519532110E+002  5.707600872828E+000 -6.293000657162E+000 -6.317921596096E+000
  7.200624243425E-003  5.359363414876E-004 -4.166305446002E+002  5.707393132843E+000 -6.011107809558E+000 -6.032455066468E+000
  7.746682662519E-003  5.561877340970E-004 -3.872625394242E+002  5.707161302233E+000 -5.758508908827E+000 -5.776662240308E+000
  8.313014461060E-003  5.764833752781E-004 -3.608799207619E+002  5.706903624976E+000 -5.531221111024E+000 -5.546508941659E+000
  8.899664713569E-003  5.968249182030E-004 -3.370913508040E+002  5.706618290164E+000 -5.325914143782E+000 -5.338621976300E+000
  9.506680151615E-003  6.172140238444E-004 -3.155675748164E+002  5.706303432941E+000 -5.139786088936E+000 -5.150163313479E+000
  1.013410917176E-002  6.376523612666E-004 -2.960299666359E+002  5.705957135481E+000 -4.970465900674E+000 -4.978731347738E+000
  1.078200184380E-002  6.581416079202E-004 -2.782414660527E+002  5.705577427992E+000 -4.815936279494E+000 -4.822282778882E+000
  1.145040991929E-002  6.786834499385E-004 -2.619993538351E+002  5.705162289743E+000 -4.674472185147E+000 -4.679070332485E+000
  1.213938684040E-002  6.992795824361E-004 -2.471294505598E+002  5.704709650133E+000 -4.544591466650E+000 -4.547592753637E+000
  1.284898774901E-002  7.199317098113E-004 -2.334814273779E+002  5.704217389780E+000 -4.425014955280E+000 -4.426554385619E+000
  1.357926949620E-002  7.406415460502E-004 -2.209249916456E+002  5.703683341639E+000 -4.314634002971E+000 -4.314832289941E+000
  1.433029065191E-002  7.614108150341E-004 -2.093467657336E+002  5.703105292149E+000 -4.212483919895E+000 -4.211449341594E+000
  1.510211151509E-002  7.822412508494E-004 -1.986477186983E+002  5.702480982411E+000 -4.117722117104E+000 -4.115552089995E+000
  1.589479412397E-002  8.031345981016E-004 -1.887410416644E+002  5.701808109385E+000 -4.029610025305E+000 -4.026392444739E+000
  1.670840226680E-002  8.240926122311E-004 -1.795503814247E+002  5.701084327127E+000 -3.947498062195E+000 -3.943312449187E+000
  1.754300149280E-002  8.451170598329E-004 -1.710083648589E+002  5.700307248036E+000 -3.870813074762E+000 -3.865731560939E+000
  1.839865912351E-002  8.662097189796E-004 -1.630553607119E+002  5.699474444142E+000 -3.799047801606E+000 -3.793135978334E+000
