# 1st line: number of mesh points
# rho and r_seitz are calculated from total density
# zeta and r_seitz only correct of rho > 1d-12

# abcissa weight rho drho ddrho zeta r_seitz
500
  9.830308526508E-006  1.966074589941E-005  1.761396008003E+002 -1.074064053775E+003  6.834431390137E+003 -1.570696170911E-004  2.572891165049E-001
  3.932200719717E-005  3.932303800261E-005  1.761079277988E+002 -1.073862514444E+003  6.833098198532E+003 -1.570684417597E-004  2.573045400582E-001
  8.847741541455E-005  5.898842277178E-005  1.760551499029E+002 -1.073526685315E+003  6.830876693599E+003 -1.570664822885E-004  2.573302491149E-001
  1.573003992804E-004  7.865844718600E-005  1.759812827683E+002 -1.073056670996E+003  6.827767596739E+003 -1.570637378038E-004  2.573662483775E-001
  2.457963722417E-004  9.833465899987E-005  1.758863483049E+002 -1.072452617878E+003  6.823771917504E+003 -1.570602070773E-004  2.574125444324E-001
  3.539722959954E-004  1.180186070023E-004  1.757703746687E+002 -1.071714714081E+003  6.818890953175E+003 -1.570558885300E-004  2.574691457520E-001
  4.818366816528E-004  1.377118412759E-004  1.756333962516E+002 -1.070843189380E+003  6.813126288234E+003 -1.570507802304E-004  2.575360626980E-001
  6.293995911626E-004  1.574159134560E-004  1.754754536681E+002 -1.069838315112E+003  6.806479793712E+003 -1.570448798898E-004  2.576133075252E-001
  7.966726389934E-004  1.771323769912E-004  1.752965937409E+002 -1.068700404075E+003  6.798953626420E+003 -1.570381848670E-004  2.577008943862E-001
  9.836689940782E-004  1.968627874036E-004  1.750968694833E+002 -1.067429810398E+003  6.790550228067E+003 -1.570306921584E-004  2.577988393370E-001
  1.190403382016E-003  2.166087025496E-004  1.748763400797E+002 -1.066026929410E+003  6.781272324249E+003 -1.570223984034E-004  2.579071603425E-001
  1.416892087541E-003  2.363716828821E-004  1.746350708635E+002 -1.064492197478E+003  6.771122923337E+003 -1.570132998784E-004  2.580258772840E-001
  1.663152957245E-003  2.561532917128E-004  1.743731332932E+002 -1.062826091842E+003  6.760105315235E+003 -1.570033924909E-004  2.581550119662E-001
  1.929205402573E-003  2.759550954757E-004  1.740906049256E+002 -1.061029130422E+003  6.748223070030E+003 -1.569926717854E-004  2.582945881257E-001
  2.215070403074E-003  2.957786639908E-004  1.737875693874E+002 -1.059101871617E+003  6.735480036525E+003 -1.569811329321E-004  2.584446314399E-001
  2.520770509919E-003  3.156255707300E-004  1.734641163440E+002 -1.057044914089E+003  6.721880340648E+003 -1.569687707250E-004  2.586051695372E-001
  2.846329849692E-003  3.354973930828E-004  1.731203414665E+002 -1.054858896520E+003  6.707428383764E+003 -1.569555795814E-004  2.587762320067E-001
  3.191774128432E-003  3.553957126240E-004  1.727563463960E+002 -1.052544497370E+003  6.692128840855E+003 -1.569415535349E-004  2.589578504104E-001
  3.557130635959E-003  3.753221153821E-004  1.723722387057E+002 -1.050102434602E+003  6.675986658597E+003 -1.569266862328E-004  2.591500582944E-001
  3.942428250463E-003  3.952781921092E-004  1.719681318616E+002 -1.047533465404E+003  6.659007053320E+003 -1.569109709299E-004  2.593528912023E-001
  4.347697443358E-003  4.152655385525E-004  1.715441451797E+002 -1.044838385891E+003  6.641195508858E+003 -1.568944004854E-004  2.595663866889E-001
  4.772970284417E-003  4.352857557265E-004  1.711004037820E+002 -1.042018030790E+003  6.622557774287E+003 -1.568769673553E-004  2.597905843338E-001
  5.218280447175E-003  4.553404501876E-004  1.706370385499E+002 -1.039073273110E+003  6.603099861552E+003 -1.568586635905E-004  2.600255257575E-001
  5.683663214611E-003  4.754312343099E-004  1.701541860755E+002 -1.036005023800E+003  6.582828042979E+003 -1.568394808264E-004  2.602712546369E-001
  6.169155485101E-003  4.955597265624E-004  1.696519886108E+002 -1.032814231389E+003  6.561748848693E+003 -1.568194102827E-004  2.605278167224E-001
  6.674795778653E-003  5.157275517886E-004  1.691305940146E+002 -1.029501881610E+003  6.539869063908E+003 -1.567984427513E-004  2.607952598552E-001
  7.200624243425E-003  5.359363414876E-004  1.685901556974E+002 -1.026068997012E+003  6.517195726123E+003 -1.567765685918E-004  2.610736339864E-001
  7.746682662519E-003  5.561877340970E-004  1.680308325641E+002 -1.022516636555E+003  6.493736122213E+003 -1.567537777280E-004  2.613629911956E-001
  8.313014461060E-003  5.764833752781E-004  1.674527889549E+002 -1.018845895193E+003  6.469497785401E+003 -1.567300596328E-004  2.616633857118E-001
  8.899664713569E-003  5.968249182030E-004  1.668561945836E+002 -1.015057903435E+003  6.444488492143E+003 -1.567054033270E-004  2.619748739342E-001
  9.506680151615E-003  6.172140238444E-004  1.662412244745E+002 -1.011153826905E+003  6.418716258897E+003 -1.566797973693E-004  2.622975144543E-001
  1.013410917176E-002  6.376523612666E-004  1.656080588962E+002 -1.007134865873E+003  6.392189338797E+003 -1.566532298479E-004  2.626313680786E-001
  1.078200184380E-002  6.581416079202E-004  1.649568832951E+002 -1.003002254782E+003  6.364916218222E+003 -1.566256883718E-004  2.629764978528E-001
  1.145040991929E-002  6.786834499385E-004  1.642878882250E+002 -9.987572617568E+002  6.336905613270E+003 -1.565971600600E-004  2.633329690863E-001
  1.213938684040E-002  6.992795824361E-004  1.636012692758E+002 -9.944011881008E+002  6.308166466130E+003 -1.565676315358E-004  2.637008493781E-001
  1.284898774901E-002  7.199317098113E-004  1.628972270004E+002 -9.899353677772E+002  6.278707941354E+003 -1.565370889127E-004  2.640802086433E-001
  1.357926949620E-002  7.406415460502E-004  1.621759668389E+002 -9.853611668786E+002  6.248539422045E+003 -1.565055177871E-004  2.644711191412E-001
