# 1st line: number of mesh points
# rho and r_seitz are calculated from total density
# zeta and r_seitz only correct of rho > 1d-12

# abcissa weight rho drho ddrho zeta r_seitz
500
  9.830308526508E-006  1.966074589941E-005  1.612975521099E+003 -1.952254100043E+004  2.416973218298E+005 -2.602196725236E-004  1.229790572404E-001
  3.932200719717E-005  3.932303800261E-005  1.612399873299E+003 -1.951541426828E+004  2.416069676728E+005 -2.602202537541E-004  1.229936905420E-001
  8.847741541455E-005  5.898842277178E-005  1.611440876975E+003 -1.950354167902E+004  2.414564464170E+005 -2.602212154709E-004  1.230180842608E-001
  1.573003992804E-004  7.865844718600E-005  1.610099156717E+003 -1.948693117352E+004  2.412458614963E+005 -2.602225471657E-004  1.230522457240E-001
  2.457963722417E-004  9.833465899987E-005  1.608375586092E+003 -1.946559385783E+004  2.409753575681E+005 -2.602242341146E-004  1.230961851958E-001
  3.539722959954E-004  1.180186070023E-004  1.606271286801E+003 -1.943954399197E+004  2.406451203630E+005 -2.602262573669E-004  1.231499158835E-001
  4.818366816528E-004  1.377118412759E-004  1.603787627579E+003 -1.940879897557E+004  2.402553764934E+005 -2.602285937275E-004  1.232134539452E-001
  6.293995911626E-004  1.574159134560E-004  1.600926222859E+003 -1.937337933041E+004  2.398063932179E+005 -2.602312157382E-004  1.232868184994E-001
  7.966726389934E-004  1.771323769912E-004  1.597688931206E+003 -1.933330867975E+004  2.392984781653E+005 -2.602340916555E-004  1.233700316366E-001
  9.836689940782E-004  1.968627874036E-004  1.594077853499E+003 -1.928861372463E+004  2.387319790164E+005 -2.602371854231E-004  1.234631184319E-001
  1.190403382016E-003  2.166087025496E-004  1.590095330889E+003 -1.923932421702E+004  2.381072831449E+005 -2.602404566418E-004  1.235661069603E-001
  1.416892087541E-003  2.363716828821E-004  1.585743942524E+003 -1.918547292998E+004  2.374248172166E+005 -2.602438605364E-004  1.236790283133E-001
  1.663152957245E-003  2.561532917128E-004  1.581026503036E+003 -1.912709562480E+004  2.366850467502E+005 -2.602473479173E-004  1.238019166175E-001
  1.929205402573E-003  2.759550954757E-004  1.575946059813E+003 -1.906423101518E+004  2.358884756366E+005 -2.602508651422E-004  1.239348090548E-001
  2.215070403074E-003  2.957786639908E-004  1.570505890040E+003 -1.899692072850E+004  2.350356456202E+005 -2.602543540652E-004  1.240777458845E-001
  2.520770509919E-003  3.156255707300E-004  1.564709497520E+003 -1.892520926414E+004  2.341271357417E+005 -2.602577519953E-004  1.242307704678E-001
  2.846329849692E-003  3.354973930828E-004  1.558560609284E+003 -1.884914394912E+004  2.331635617432E+005 -2.602609916384E-004  1.243939292933E-001
  3.191774128432E-003  3.553957126240E-004  1.552063171987E+003 -1.876877489085E+004  2.321455754357E+005 -2.602640010451E-004  1.245672720053E-001
  3.557130635959E-003  3.753221153821E-004  1.545221348091E+003 -1.868415492724E+004  2.310738640317E+005 -2.602667035461E-004  1.247508514332E-001
  3.942428250463E-003  3.952781921092E-004  1.538039511854E+003 -1.859533957411E+004  2.299491494420E+005 -2.602690176931E-004  1.249447236238E-001
  4.347697443358E-003  4.152655385525E-004  1.530522245116E+003 -1.850238697009E+004  2.287721875373E+005 -2.602708571858E-004  1.251489478750E-001
  4.772970284417E-003  4.352857557265E-004  1.522674332888E+003 -1.840535781897E+004  2.275437673782E+005 -2.602721308022E-004  1.253635867715E-001
  5.218280447175E-003  4.553404501876E-004  1.514500758762E+003 -1.830431532956E+004  2.262647104107E+005 -2.602727423215E-004  1.255887062228E-001
  5.683663214611E-003  4.754312343099E-004  1.506006700131E+003 -1.819932515327E+004  2.249358696320E+005 -2.602725904462E-004  1.258243755035E-001
  6.169155485101E-003  4.955597265624E-004  1.497197523234E+003 -1.809045531938E+004  2.235581287248E+005 -2.602715687090E-004  1.260706672954E-001
  6.674795778653E-003  5.157275517886E-004  1.488078778032E+003 -1.797777616801E+004  2.221324011631E+005 -2.602695653934E-004  1.263276577318E-001
  7.200624243425E-003  5.359363414876E-004  1.478656192917E+003 -1.786136028109E+004  2.206596292890E+005 -2.602664634327E-004  1.265954264443E-001
  7.746682662519E-003  5.561877340970E-004  1.468935669266E+003 -1.774128241119E+004  2.191407833633E+005 -2.602621403172E-004  1.268740566120E-001
  8.313014461060E-003  5.764833752781E-004  1.458923275835E+003 -1.761761940846E+004  2.175768605901E+005 -2.602564679868E-004  1.271636350122E-001
  8.899664713569E-003  5.968249182030E-004  1.448625243017E+003 -1.749045014564E+004  2.159688841168E+005 -2.602493127252E-004  1.274642520747E-001
  9.506680151615E-003  6.172140238444E-004  1.438047956955E+003 -1.735985544133E+004  2.143179020104E+005 -2.602405350493E-004  1.277760019374E-001
  1.013410917176E-002  6.376523612666E-004  1.427197953528E+003 -1.722591798159E+004  2.126249862126E+005 -2.602299895881E-004  1.280989825053E-001
  1.078200184380E-002  6.581416079202E-004  1.416081912203E+003 -1.708872223993E+004  2.108912314739E+005 -2.602175249632E-004  1.284332955115E-001
  1.145040991929E-002  6.786834499385E-004  1.404706649787E+003 -1.694835439580E+004  2.091177542679E+005 -2.602029836623E-004  1.287790465810E-001
  1.213938684040E-002  6.992795824361E-004  1.393079114046E+003 -1.680490225176E+004  2.073056916879E+005 -2.601862019044E-004  1.291363452972E-001
  1.284898774901E-002  7.199317098113E-004  1.381206377244E+003 -1.665845514923E+004  2.054562003275E+005 -2.601670095042E-004  1.295053052710E-001
  1.357926949620E-002  7.406415460502E-004  1.369095629571E+003 -1.650910388321E+004  2.035704551449E+005 -2.601452297259E-004  1.298860442132E-001
