# 1st line: number of mesh points
# abcissa weight nuclear coulomb dft-vxc_up dft-vxc_down
500
  9.830308526508E-006  1.966074589941E-005 -6.103572419747E+005  1.468460689282E+001 -3.002129215017E+003 -3.000852803013E+003
  3.932200719717E-005  3.932303800261E-005 -1.525863105084E+005  1.468460650302E+001 -7.543584722545E+002 -7.540405125711E+002
  8.847741541455E-005  5.898842277178E-005 -6.781391580990E+004  1.468460481570E+001 -3.381037416341E+002 -3.379632737298E+002
  1.573003992804E-004  7.865844718600E-005 -3.814357768605E+004  1.468460027466E+001 -1.924135355721E+002 -1.923351905083E+002
  2.457963722417E-004  9.833465899987E-005 -2.441044977711E+004  1.468459070502E+001 -1.249786310142E+002 -1.249290407359E+002
  3.539722959954E-004  1.180186070023E-004 -1.695047908517E+004  1.468457331543E+001 -8.834610303623E+001 -8.831213347120E+001
  4.818366816528E-004  1.377118412759E-004 -1.245235206962E+004  1.468454470222E+001 -6.625657161462E+001 -6.623202170728E+001
  6.293995911626E-004  1.574159134560E-004 -9.532894657458E+003  1.468450085413E+001 -5.191830540842E+001 -5.189987010281E+001
  7.966726389934E-004  1.771323769912E-004 -7.531324293477E+003  1.468443715780E+001 -4.208669676664E+001 -4.207245450809E+001
  9.836689940782E-004  1.968627874036E-004 -6.099612812969E+003  1.468434840426E+001 -3.505284064242E+001 -3.504159855161E+001
  1.190403382016E-003  2.166087025496E-004 -5.040308260748E+003  1.468422879616E+001 -2.984719902889E+001 -2.983817763441E+001
  1.416892087541E-003  2.363716828821E-004 -4.234620302251E+003  1.468407195586E+001 -2.588648228197E+001 -2.587915082311E+001
  1.663152957245E-003  2.561532917128E-004 -3.607605646770E+003  1.468387093427E+001 -2.280270081227E+001 -2.279668543435E+001
  1.929205402573E-003  2.759550954757E-004 -3.110088740161E+003  1.468361822054E+001 -2.035439114948E+001 -2.034942095249E+001
  2.215070403074E-003  2.957786639908E-004 -2.708717516010E+003  1.468330575254E+001 -1.837778718511E+001 -1.837366109300E+001
  2.520770509919E-003  3.156255707300E-004 -2.380224608464E+003  1.468292492806E+001 -1.675864128730E+001 -1.675520693278E+001
  2.846329849692E-003  3.354973930828E-004 -2.107977752701E+003  1.468246661681E+001 -1.541528590132E+001 -1.541242573321E+001
  3.191774128432E-003  3.553957126240E-004 -1.879832268378E+003  1.468192117315E+001 -1.428808870421E+001 -1.428571059111E+001
  3.557130635959E-003  3.753221153821E-004 -1.686752783085E+003  1.468127844952E+001 -1.333268492093E+001 -1.333071564065E+001
  3.942428250463E-003  3.952781921092E-004 -1.521904678746E+003  1.468052781059E+001 -1.251551609794E+001 -1.251389672917E+001
  4.347697443358E-003  4.152655385525E-004 -1.380040832686E+003  1.467965814809E+001 -1.181081884770E+001 -1.180950144574E+001
  4.772970284417E-003  4.352857557265E-004 -1.257078850792E+003  1.467865789632E+001 -1.119854895721E+001 -1.119749411477E+001
  5.218280447175E-003  4.553404501876E-004 -1.149804051495E+003  1.467751504826E+001 -1.066292296454E+001 -1.066209799447E+001
  5.683663214611E-003  4.754312343099E-004 -1.055657200901E+003  1.467621717237E+001 -1.019137588479E+001 -1.019075344723E+001
  6.169155485101E-003  4.955597265624E-004 -9.725804471115E+002  1.467475142991E+001 -9.773804708645E+000 -9.773361760729E+000
  6.674795778653E-003  5.157275517886E-004 -8.989039064219E+002  1.467310459288E+001 -9.402011511869E+000 -9.401728494860E+000
  7.200624243425E-003  5.359363414876E-004 -8.332610892005E+002  1.467126306254E+001 -9.069288174826E+000 -9.069148378355E+000
  7.746682662519E-003  5.561877340970E-004 -7.745250788483E+002  1.466921288837E+001 -8.770103004833E+000 -8.770092064737E+000
  8.313014461060E-003  5.764833752781E-004 -7.217598415238E+002  1.466693978762E+001 -8.499861654351E+000 -8.499967152451E+000
  8.899664713569E-003  5.968249182030E-004 -6.741827016081E+002  1.466442916526E+001 -8.254722865746E+000 -8.254934008188E+000
  9.506680151615E-003  6.172140238444E-004 -6.311351496327E+002  1.466166613446E+001 -8.031455130534E+000 -8.031762487230E+000
  1.013410917176E-002  6.376523612666E-004 -5.920599332718E+002  1.465863553739E+001 -7.827324200012E+000 -7.827719492049E+000
  1.078200184380E-002  6.581416079202E-004 -5.564829321053E+002  1.465532196648E+001 -7.640004085416E+000 -7.640480010396E+000
  1.145040991929E-002  6.786834499385E-004 -5.239987076702E+002  1.465170978605E+001 -7.467506104630E+000 -7.468056192261E+000
  1.213938684040E-002  6.992795824361E-004 -4.942589011196E+002  1.464778315422E+001 -7.308121911373E+000 -7.308740403329E+000
  1.284898774901E-002  7.199317098113E-004 -4.669628547557E+002  1.464352604514E+001 -7.160377444132E+000 -7.161059193548E+000
  1.357926949620E-002  7.406415460502E-004 -4.418499832911E+002  1.463892227154E+001 -7.022995466697E+000 -7.023735853617E+000
  1.433029065191E-002  7.614108150341E-004 -4.186935314671E+002  1.463395550746E+001 -6.894864916042E+000 -6.895659775924E+000
  1.510211151509E-002  7.822412508494E-004 -3.972954373966E+002  1.462860931123E+001 -6.775015679580E+000 -6.775861242538E+000
  1.589479412397E-002  8.031345981016E-004 -3.774820833289E+002  1.462286714862E+001 -6.662597729860E+000 -6.663490568793E+000
  1.670840226680E-002  8.240926122311E-004 -3.591007628493E+002  1.461671241614E+001 -6.556863777135E+000 -6.557800763228E+000
  1.754300149280E-002  8.451170598329E-004 -3.420167297177E+002  1.461012846445E+001 -6.457154777905E+000 -6.458133042293E+000
  1.839865912351E-002  8.662097189796E-004 -3.261107214238E+002  1.460309862190E+001 -6.362887774427E+000 -6.363904675026E+000
