# 1st line: number of mesh points
# rho and r_seitz are calculated from total density
# zeta and r_seitz only correct of rho > 1d-12

# abcissa weight rho drho ddrho zeta r_seitz
500
  9.830308526508E-006  1.966074589941E-005  1.761482895967E+002 -1.074122923493E+003  6.834867605974E+003 -8.905770561852E-013  2.572848860361E-001
  3.932200719717E-005  3.932303800261E-005  1.761166148593E+002 -1.073921371298E+003  6.833534309354E+003 -8.899303270119E-013  2.573003094204E-001
  8.847741541455E-005  5.898842277178E-005  1.760638340708E+002 -1.073585520737E+003  6.831312629446E+003 -8.897128268984E-013  2.573260181952E-001
  1.573003992804E-004  7.865844718600E-005  1.759899628880E+002 -1.073115476423E+003  6.828203287727E+003 -8.887943112404E-013  2.573620170631E-001
  2.457963722417E-004  9.833465899987E-005  1.758950232222E+002 -1.072511384762E+003  6.824207293854E+003 -8.879005810344E-013  2.574083126105E-001
  3.539722959954E-004  1.180186070023E-004  1.757790432315E+002 -1.071773433889E+003  6.819325945246E+003 -8.867886780212E-013  2.574649133094E-001
  4.818366816528E-004  1.377118412759E-004  1.756420573097E+002 -1.070901853597E+003  6.813560826549E+003 -8.857003211540E-013  2.575318295215E-001
  6.293995911626E-004  1.574159134560E-004  1.754841060742E+002 -1.069896915246E+003  6.806913808992E+003 -8.839061421940E-013  2.576090735015E-001
  7.966726389934E-004  1.771323769912E-004  1.753052363509E+002 -1.068758931659E+003  6.799387049611E+003 -8.826193065302E-013  2.576966594016E-001
  9.836689940782E-004  1.968627874036E-004  1.751055011564E+002 -1.067488256996E+003  6.790982990370E+003 -8.801363656112E-013  2.577946032776E-001
  1.190403382016E-003  2.166087025496E-004  1.748849596792E+002 -1.066085286616E+003  6.781704357151E+003 -8.785647517239E-013  2.579029230943E-001
  1.416892087541E-003  2.363716828821E-004  1.746436772568E+002 -1.064550456924E+003  6.771554158640E+003 -8.757100219558E-013  2.580216387325E-001
  1.663152957245E-003  2.561532917128E-004  1.743817253525E+002 -1.062884245198E+003  6.760535685084E+003 -8.732768231320E-013  2.581507719967E-001
  1.929205402573E-003  2.759550954757E-004  1.740991815283E+002 -1.061087169401E+003  6.748652506944E+003 -8.705311777300E-013  2.582903466230E-001
  2.215070403074E-003  2.957786639908E-004  1.737961294163E+002 -1.059159787979E+003  6.735908473423E+003 -8.676337032905E-013  2.584403882886E-001
  2.520770509919E-003  3.156255707300E-004  1.734726586879E+002 -1.057102699640E+003  6.722307710881E+003 -8.639267707088E-013  2.586009246213E-001
  2.846329849692E-003  3.354973930828E-004  1.731288650204E+002 -1.054916543122E+003  6.707854621140E+003 -8.611277894046E-013  2.587719852099E-001
  3.191774128432E-003  3.553957126240E-004  1.727648500616E+002 -1.052601996937E+003  6.692553879668E+003 -8.575133214492E-013  2.589536016157E-001
  3.557130635959E-003  3.753221153821E-004  1.723807213918E+002 -1.050159779109E+003  6.676410433657E+003 -8.536534676718E-013  2.591458073846E-001
  3.942428250463E-003  3.952781921092E-004  1.719765924844E+002 -1.047590646888E+003  6.659429499977E+003 -8.497099339240E-013  2.593486380596E-001
  4.347697443358E-003  4.152655385525E-004  1.715525826633E+002 -1.044895396453E+003  6.641616563032E+003 -8.452659777122E-013  2.595621311947E-001
  4.772970284417E-003  4.352857557265E-004  1.711088170586E+002 -1.042074862599E+003  6.622977372494E+003 -8.410631794129E-013  2.597863263692E-001
  5.218280447175E-003  4.553404501876E-004  1.706454265602E+002 -1.039129918406E+003  6.603517940927E+003 -8.364351019340E-013  2.600212652027E-001
  5.683663214611E-003  4.754312343099E-004  1.701625477694E+002 -1.036061474897E+003  6.583244541309E+003 -8.314595156175E-013  2.602669913717E-001
  6.169155485101E-003  4.955597265624E-004  1.696603229471E+002 -1.032870480678E+003  6.562163704434E+003 -8.271361734727E-013  2.605235506258E-001
  6.674795778653E-003  5.157275517886E-004  1.691388999620E+002 -1.029557921563E+003  6.540282216218E+003 -8.217883053552E-013  2.607909908055E-001
  7.200624243425E-003  5.359363414876E-004  1.685984322344E+002 -1.026124820181E+003  6.517607114883E+003 -8.170053121430E-013  2.610693618610E-001
  7.746682662519E-003  5.561877340970E-004  1.680390786796E+002 -1.022572235581E+003  6.494145688051E+003 -8.105068931626E-013  2.613587158713E-001
  8.313014461060E-003  5.764833752781E-004  1.674610036485E+002 -1.018901262801E+003  6.469905469719E+003 -8.058370213691E-013  2.616591070646E-001
  8.899664713569E-003  5.968249182030E-004  1.668643768658E+002 -1.015113032445E+003  6.444894237137E+003 -7.992650918501E-013  2.619705918392E-001
  9.506680151615E-003  6.172140238444E-004  1.662493733671E+002 -1.011208710227E+003  6.419120007581E+003 -7.934174475065E-013  2.622932287856E-001
  1.013410917176E-002  6.376523612666E-004  1.656161734329E+002 -1.007189496516E+003  6.392591035028E+003 -7.869264570706E-013  2.626270787096E-001
  1.078200184380E-002  6.581416079202E-004  1.649649625211E+002 -1.003056625852E+003  6.365315806719E+003 -7.809015685789E-013  2.629722046558E-001
  1.145040991929E-002  6.786834499385E-004  1.642959311980E+002 -9.988113664625E+002  6.337303039636E+003 -7.746534798599E-013  2.633286719328E-001
  1.213938684040E-002  6.992795824361E-004  1.636092750661E+002 -9.944550197529E+002  6.308561676874E+003 -7.682633512385E-013  2.636965481384E-001
  1.284898774901E-002  7.199317098113E-004  1.629051946910E+002 -9.899889197930E+002  6.279100883912E+003 -7.604178662774E-013  2.640759031868E-001
  1.357926949620E-002  7.406415460502E-004  1.621838955260E+002 -9.854144327835E+002  6.248930044797E+003 -7.533727590217E-013  2.644668093361E-001
