# 1st line: number of mesh points
# rho and r_seitz are calculated from total density
# zeta and r_seitz only correct of rho > 1d-12

# abcissa weight rho drho ddrho zeta r_seitz
500
  9.830308526508E-006  1.966074589941E-005  3.934044260325E+003 -6.330293641529E+004  1.035781065864E+006  3.198369908741E-007  9.136096349640E-002
  3.932200719717E-005  3.932303800261E-005  3.932177799566E+003 -6.327239696370E+004  1.035273067237E+006  3.198028934707E-007  9.137541644410E-002
  8.847741541455E-005  5.898842277178E-005  3.929068869465E+003 -6.322152849266E+004  1.034426922110E+006  3.197486488183E-007  9.139951077770E-002
  1.573003992804E-004  7.865844718600E-005  3.924720224130E+003 -6.315037687966E+004  1.033243408583E+006  3.196781392992E-007  9.143325563297E-002
  2.457963722417E-004  9.833465899987E-005  3.919135714043E+003 -6.305900626354E+004  1.031723614441E+006  3.195968153866E-007  9.147666380924E-002
  3.539722959954E-004  1.180186070023E-004  3.912320280801E+003 -6.294749895491E+004  1.029868935607E+006  3.195117108584E-007  9.152975177862E-002
  4.818366816528E-004  1.377118412759E-004  3.904279950372E+003 -6.281595532141E+004  1.027681074151E+006  3.194314598993E-007  9.159253969794E-002
  6.293995911626E-004  1.574159134560E-004  3.895021824875E+003 -6.266449364776E+004  1.025162035868E+006  3.193663220358E-007  9.166505142331E-002
  7.966726389934E-004  1.771323769912E-004  3.884554072898E+003 -6.249324997110E+004  1.022314127428E+006  3.193282079115E-007  9.174731452743E-002
  9.836689940782E-004  1.968627874036E-004  3.872885918377E+003 -6.230237789163E+004  1.019139953095E+006  3.193307137453E-007  9.183936031953E-002
  1.190403382016E-003  2.166087025496E-004  3.860027628047E+003 -6.209204835919E+004  1.015642411034E+006  3.193891565381E-007  9.194122386813E-002
  1.416892087541E-003  2.363716828821E-004  3.845990497492E+003 -6.186244943594E+004  1.011824689202E+006  3.195206142585E-007  9.205294402646E-002
  1.663152957245E-003  2.561532917128E-004  3.830786835819E+003 -6.161378603563E+004  1.007690260837E+006  3.197439748079E-007  9.217456346078E-002
  1.929205402573E-003  2.759550954757E-004  3.814429948977E+003 -6.134627963996E+004  1.003242879546E+006  3.200799850686E-007  9.230612868137E-002
  2.215070403074E-003  2.957786639908E-004  3.796934121760E+003 -6.106016799251E+004  9.984865740140E+005  3.205513077628E-007  9.244769007655E-002
  2.520770509919E-003  3.156255707300E-004  3.778314598513E+003 -6.075570477080E+004  9.934256423251E+005  3.211825809368E-007  9.259930194941E-002
  2.846329849692E-003  3.354973930828E-004  3.758587562587E+003 -6.043315923702E+004  9.880646459258E+005  3.220004888524E-007  9.276102255756E-002
  3.191774128432E-003  3.553957126240E-004  3.737770114564E+003 -6.009281586808E+004  9.824084032256E+005  3.230338300176E-007  9.293291415590E-002
  3.557130635959E-003  3.753221153821E-004  3.715880249312E+003 -5.973497396564E+004  9.764619828552E+005  3.243135978804E-007  9.311504304230E-002
  3.942428250463E-003  3.952781921092E-004  3.692936831879E+003 -5.935994724686E+004  9.702306965912E+005  3.258730644316E-007  9.330747960641E-002
  4.347697443358E-003  4.152655385525E-004  3.668959572300E+003 -5.896806341645E+004  9.637200919623E+005  3.277478724378E-007  9.351029838161E-002
  4.772970284417E-003  4.352857557265E-004  3.643968999335E+003 -5.855966372093E+004  9.569359445470E+005  3.299761284592E-007  9.372357810014E-002
  5.218280447175E-003  4.553404501876E-004  3.617986433198E+003 -5.813510248579E+004  9.498842499804E+005  3.325985122615E-007  9.394740175144E-002
  5.683663214611E-003  4.754312343099E-004  3.591033957319E+003 -5.769474663640E+004  9.425712156812E+005  3.356583850538E-007  9.418185664382E-002
  6.169155485101E-003  4.955597265624E-004  3.563134389182E+003 -5.723897520351E+004  9.350032523165E+005  3.392019092272E-007  9.442703446957E-002
  6.674795778653E-003  5.157275517886E-004  3.534311250303E+003 -5.676817881420E+004  9.271869650170E+005  3.432781764955E-007  9.468303137342E-002
  7.200624243425E-003  5.359363414876E-004  3.504588735385E+003 -5.628275916916E+004  9.191291443602E+005  3.479393394033E-007  9.494994802462E-002
  7.746682662519E-003  5.561877340970E-004  3.473991680708E+003 -5.578312850717E+004  9.108367571370E+005  3.532407603829E-007  9.522788969257E-002
  8.313014461060E-003  5.764833752781E-004  3.442545531806E+003 -5.526970905785E+004  9.023169369177E+005  3.592411606443E-007  9.551696632623E-002
  8.899664713569E-003  5.968249182030E-004  3.410276310497E+003 -5.474293248346E+004  8.935769744342E+005  3.660027861008E-007  9.581729263723E-002
  9.506680151615E-003  6.172140238444E-004  3.377210581297E+003 -5.420323931076E+004  8.846243077957E+005  3.735915789815E-007  9.612898818690E-002
  1.013410917176E-002  6.376523612666E-004  3.343375417298E+003 -5.365107835399E+004  8.754665125547E+005  3.820773607226E-007  9.645217747732E-002
  1.078200184380E-002  6.581416079202E-004  3.308798365559E+003 -5.308690612988E+004  8.661112916404E+005  3.915340286490E-007  9.678699004640E-002
  1.145040991929E-002  6.786834499385E-004  3.273507412063E+003 -5.251118626563E+004  8.565664651781E+005  4.020397632640E-007  9.713356056715E-002
  1.213938684040E-002  6.992795824361E-004  3.237530946301E+003 -5.192438890105E+004  8.468399602100E+005  4.136772465391E-007  9.749202895134E-002
  1.284898774901E-002  7.199317098113E-004  3.200897725549E+003 -5.132699008565E+004  8.369398003381E+005  4.265338958019E-007  9.786254045748E-002
  1.357926949620E-002  7.406415460502E-004  3.163636838884E+003 -5.071947117185E+004  8.268740953043E+005  4.407021114615E-007  9.824524580343E-002
