# 1st line: number of mesh points
# rho and r_seitz are calculated from total density
# zeta and r_seitz only correct of rho > 1d-12

# abcissa weight rho drho ddrho zeta r_seitz
500
  9.830308526508E-006  1.966074589941E-005  4.700640891947E+000 -9.558620715511E+000  1.879466346546E+001  5.076097875530E-013  8.609700816087E-001
  3.932200719717E-005  3.932303800261E-005  4.700359000158E+000 -9.558066443186E+000  1.879369873566E+001  5.064119920874E-013  8.609872927440E-001
  8.847741541455E-005  5.898842277178E-005  4.699889192205E+000 -9.557142670771E+000  1.879209082728E+001  5.060846566131E-013  8.610159803140E-001
  1.573003992804E-004  7.865844718600E-005  4.699231485633E+000 -9.555849420473E+000  1.878983970232E+001  5.066280010434E-013  8.610561478359E-001
  2.457963722417E-004  9.833465899987E-005  4.698385905014E+000 -9.554186723400E+000  1.878694530762E+001  5.057739849278E-013  8.611078002353E-001
  3.539722959954E-004  1.180186070023E-004  4.697352481955E+000 -9.552154619589E+000  1.878340757499E+001  5.048453122709E-013  8.611709438472E-001
  4.818366816528E-004  1.377118412759E-004  4.696131255109E+000 -9.549753158034E+000  1.877922642126E+001  5.048820321642E-013  8.612455864177E-001
  6.293995911626E-004  1.574159134560E-004  4.694722270188E+000 -9.546982396725E+000  1.877440174842E+001  5.046551847369E-013  8.613317371063E-001
  7.966726389934E-004  1.771323769912E-004  4.693125579976E+000 -9.543842402685E+000  1.876893344375E+001  5.034074959517E-013  8.614294064878E-001
  9.836689940782E-004  1.968627874036E-004  4.691341244350E+000 -9.540333252025E+000  1.876282137997E+001  5.028416735970E-013  8.615386065556E-001
  1.190403382016E-003  2.166087025496E-004  4.689369330299E+000 -9.536455029999E+000  1.875606541544E+001  5.011590968836E-013  8.616593507246E-001
  1.416892087541E-003  2.363716828821E-004  4.687209911947E+000 -9.532207831063E+000  1.874866539436E+001  4.996845749919E-013  8.617916538346E-001
  1.663152957245E-003  2.561532917128E-004  4.684863070576E+000 -9.527591758947E+000  1.874062114697E+001  4.989869640658E-013  8.619355321546E-001
  1.929205402573E-003  2.759550954757E-004  4.682328894655E+000 -9.522606926731E+000  1.873193248981E+001  4.967910912559E-013  8.620910033867E-001
  2.215070403074E-003  2.957786639908E-004  4.679607479870E+000 -9.517253456927E+000  1.872259922598E+001  4.960361119755E-013  8.622580866709E-001
  2.520770509919E-003  3.156255707300E-004  4.676698929153E+000 -9.511531481567E+000  1.871262114544E+001  4.943504941205E-013  8.624368025901E-001
  2.846329849692E-003  3.354973930828E-004  4.673603352721E+000 -9.505441142298E+000  1.870199802529E+001  4.934426592725E-013  8.626271731756E-001
  3.191774128432E-003  3.553957126240E-004  4.670320868108E+000 -9.498982590487E+000  1.869072963013E+001  4.914122822218E-013  8.628292219130E-001
  3.557130635959E-003  3.753221153821E-004  4.666851600208E+000 -9.492155987325E+000  1.867881571238E+001  4.890180029118E-013  8.630429737482E-001
  3.942428250463E-003  3.952781921092E-004  4.663195681314E+000 -9.484961503948E+000  1.866625601268E+001  4.867348716758E-013  8.632684550942E-001
  4.347697443358E-003  4.152655385525E-004  4.659353251161E+000 -9.477399321554E+000  1.865305026027E+001  4.851347292832E-013  8.635056938379E-001
  4.772970284417E-003  4.352857557265E-004  4.655324456976E+000 -9.469469631533E+000  1.863919817339E+001  4.829789395456E-013  8.637547193477E-001
  5.218280447175E-003  4.553404501876E-004  4.651109453521E+000 -9.461172635602E+000  1.862469945974E+001  4.814115467373E-013  8.640155624813E-001
  5.683663214611E-003  4.754312343099E-004  4.646708403149E+000 -9.452508545948E+000  1.860955381695E+001  4.787136740992E-013  8.642882555936E-001
  6.169155485101E-003  4.955597265624E-004  4.642121475854E+000 -9.443477585372E+000  1.859376093300E+001  4.763167416761E-013  8.645728325457E-001
  6.674795778653E-003  5.157275517886E-004  4.637348849328E+000 -9.434079987450E+000  1.857732048680E+001  4.734552272937E-013  8.648693287138E-001
  7.200624243425E-003  5.359363414876E-004  4.632390709017E+000 -9.424315996686E+000  1.856023214864E+001  4.713735913040E-013  8.651777809987E-001
  7.746682662519E-003  5.561877340970E-004  4.627247248185E+000 -9.414185868689E+000  1.854249558078E+001  4.685385081462E-013  8.654982278355E-001
  8.313014461060E-003  5.764833752781E-004  4.621918667970E+000 -9.403689870341E+000  1.852411043801E+001  4.664844340000E-013  8.658307092040E-001
  8.899664713569E-003  5.968249182030E-004  4.616405177456E+000 -9.392828279978E+000  1.850507636822E+001  4.630012498569E-013  8.661752666398E-001
  9.506680151615E-003  6.172140238444E-004  4.610706993736E+000 -9.381601387581E+000  1.848539301303E+001  4.604913118915E-013  8.665319432449E-001
  1.013410917176E-002  6.376523612666E-004  4.604824341982E+000 -9.370009494969E+000  1.846506000841E+001  4.574148688182E-013  8.669007836995E-001
  1.078200184380E-002  6.581416079202E-004  4.598757455518E+000 -9.358052915996E+000  1.844407698535E+001  4.535762189769E-013  8.672818342745E-001
  1.145040991929E-002  6.786834499385E-004  4.592506575891E+000 -9.345731976763E+000  1.842244357049E+001  4.513893224373E-013  8.676751428434E-001
  1.213938684040E-002  6.992795824361E-004  4.586071952952E+000 -9.333047015830E+000  1.840015938688E+001  4.469872722665E-013  8.680807588957E-001
  1.284898774901E-002  7.199317098113E-004  4.579453844932E+000 -9.319998384432E+000  1.837722405467E+001  4.444330956616E-013  8.684987335504E-001
  1.357926949620E-002  7.406415460502E-004  4.572652518523E+000 -9.306586446714E+000  1.835363719183E+001  4.409180458283E-013  8.689291195696E-001
