# 1st line: number of mesh points
# abcissa weight nuclear coulomb dft-vxc_up dft-vxc_down
500
  9.830308526508E-006  1.966074589941E-005 -1.017262069958E+005  9.941604174472E-001 -2.143979363148E+003  1.728193154976E+003
  3.932200719717E-005  3.932303800261E-005 -2.543105175140E+004  9.941604164734E-001 -5.366632398488E+002  4.972867719265E+002
  8.847741541455E-005  5.898842277178E-005 -1.130231930165E+004  9.941604121495E-001 -2.390120795347E+002  2.693396091074E+002
  1.573003992804E-004  7.865844718600E-005 -6.357262947674E+003  9.941604004789E-001 -1.348341422736E+002  1.895571025170E+002
  2.457963722417E-004  9.833465899987E-005 -4.068408296184E+003  9.941603758663E-001 -8.661460570452E+001  1.526273670136E+002
  3.539722959954E-004  1.180186070023E-004 -2.825079847529E+003  9.941603311036E-001 -6.042124093145E+001  1.325646163488E+002
  4.818366816528E-004  1.377118412759E-004 -2.075392011604E+003  9.941602573864E-001 -4.462743031790E+001  1.204660844349E+002
  6.293995911626E-004  1.574159134560E-004 -1.588815776243E+003  9.941601443010E-001 -3.437660082083E+001  1.126114754635E+002
  7.966726389934E-004  1.771323769912E-004 -1.255220715580E+003  9.941599798310E-001 -2.734862599320E+001  1.072245360030E+002
  9.836689940782E-004  1.968627874036E-004 -1.016602135495E+003  9.941597503566E-001 -2.232151632514E+001  1.033694499636E+002
  1.190403382016E-003  2.166087025496E-004 -8.400513767914E+002  9.941594406477E-001 -1.860198247064E+001  1.005152875145E+002
  1.416892087541E-003  2.363716828821E-004 -7.057700503752E+002  9.941590338692E-001 -1.577293018652E+001  9.834210268197E+001
  1.663152957245E-003  2.561532917128E-004 -6.012676077950E+002  9.941585115761E-001 -1.357122008933E+001  9.664891185852E+001
  1.929205402573E-003  2.759550954757E-004 -5.183481233601E+002  9.941578537120E-001 -1.182418795452E+001  9.530348774616E+001
  2.215070403074E-003  2.957786639908E-004 -4.514529193349E+002  9.941570386080E-001 -1.041472866952E+001  9.421562171934E+001
  2.520770509919E-003  3.156255707300E-004 -3.967041014106E+002  9.941560429810E-001 -9.261146319517E+000  9.332328166044E+001
  2.846329849692E-003  3.354973930828E-004 -3.513296254502E+002  9.941548419299E-001 -8.305042022703E+000  9.258174665227E+001
  3.191774128432E-003  3.553957126240E-004 -3.133053780630E+002  9.941534089367E-001 -7.503773613364E+000  9.195836258715E+001
  3.557130635959E-003  3.753221153821E-004 -2.811254638474E+002  9.941517158611E-001 -6.825616264898E+000  9.142883610148E+001
  3.942428250463E-003  3.952781921092E-004 -2.536507797910E+002  9.941497329399E-001 -6.246572394672E+000  9.097426435479E+001
  4.347697443358E-003  4.152655385525E-004 -2.300068054477E+002  9.941474287834E-001 -5.748218401575E+000  9.058054195959E+001
  4.772970284417E-003  4.352857557265E-004 -2.095131417987E+002  9.941447703738E-001 -5.316220255538E+000  9.023774787778E+001
  5.218280447175E-003  4.553404501876E-004 -1.916340085825E+002  9.941417230615E-001 -4.939290620884E+000  8.993618770907E+001
  5.683663214611E-003  4.754312343099E-004 -1.759428668168E+002  9.941382505628E-001 -4.608443556194E+000  8.966950907718E+001
  6.169155485101E-003  4.955597265624E-004 -1.620967411853E+002  9.941343149559E-001 -4.316453561956E+000  8.943165680637E+001
  6.674795778653E-003  5.157275517886E-004 -1.498173177370E+002  9.941298766786E-001 -4.057457364325E+000  8.921866902446E+001
  7.200624243425E-003  5.359363414876E-004 -1.388768482001E+002  9.941248945252E-001 -3.826656960139E+000  8.902687415505E+001
  7.746682662519E-003  5.561877340970E-004 -1.290875131414E+002  9.941193256419E-001 -3.620095529799E+000  8.885272249820E+001
  8.313014461060E-003  5.764833752781E-004 -1.202933069206E+002  9.941131255243E-001 -3.434486476930E+000  8.869422387391E+001
  8.899664713569E-003  5.968249182030E-004 -1.123637836013E+002  9.941062480134E-001 -3.267081672982E+000  8.854927680051E+001
  9.506680151615E-003  6.172140238444E-004 -1.051891916055E+002  9.940986452914E-001 -3.115568958635E+000  8.841559354931E+001
  1.013410917176E-002  6.376523612666E-004 -9.867665554529E+001  9.940902678787E-001 -2.977991706127E+000  8.829220064526E+001
  1.078200184380E-002  6.581416079202E-004 -9.274715535088E+001  9.940810646290E-001 -2.852685178313E+000  8.817678936052E+001
  1.145040991929E-002  6.786834499385E-004 -8.733311794503E+001  9.940709827258E-001 -2.738225792264E+000  8.807034885621E+001
  1.213938684040E-002  6.992795824361E-004 -8.237648351994E+001  9.940599676777E-001 -2.633390381370E+000  8.796987326899E+001
  1.284898774901E-002  7.199317098113E-004 -7.782714245929E+001  9.940479633143E-001 -2.537123265885E+000  8.787507890907E+001
  1.357926949620E-002  7.406415460502E-004 -7.364166388185E+001  9.940349117821E-001 -2.448509467013E+000  8.778578653939E+001
  1.433029065191E-002  7.614108150341E-004 -6.978225524452E+001  9.940207535390E-001 -2.366752788794E+000  8.770139017379E+001
  1.510211151509E-002  7.822412508494E-004 -6.621590623276E+001  9.940054273509E-001 -2.291157782385E+000  8.762084780938E+001
  1.589479412397E-002  8.031345981016E-004 -6.291368055481E+001  9.939888702858E-001 -2.221114826236E+000  8.754369934896E+001
  1.670840226680E-002  8.240926122311E-004 -5.985012714155E+001  9.939710177099E-001 -2.156087721772E+000  8.747005231302E+001
  1.754300149280E-002  8.451170598329E-004 -5.700278828629E+001  9.939518032820E-001 -2.095603331349E+000  8.739903818490E+001
  1.839865912351E-002  8.662097189796E-004 -5.435178690397E+001  9.939311589488E-001 -2.039242883007E+000  8.733085258355E+001
