# Reference      Predicted      Error          #atoms         
-52.01038       -54.52548       2.51510         10.00000       
-59.17605       -51.48152       7.69453         10.00000       
-51.91158       -54.15446       2.24287         10.00000       
-59.16970       -52.46515       6.70455         10.00000       
-58.30471       -55.54423       2.76048         10.00000       
-51.11144       -52.88620       1.77476         10.00000       
-59.37946       -53.30611       6.07335         10.00000       
-58.73992       -52.39505       6.34487         10.00000       
-58.73427       -52.59581       6.13846         10.00000       
-47.85008       -53.05541       5.20534         10.00000       
-50.72022       -56.14371       5.42349         10.00000       
-48.14256       -52.36358       4.22102         10.00000       
-48.35408       -53.22922       4.87514         10.00000       
-46.78182       -48.25569       1.47387         10.00000       
-50.85808       -52.53657       1.67849         10.00000       
-46.78858       -52.69511       5.90653         10.00000       
-50.83637       -52.34849       1.51212         10.00000       
-51.33686       -55.61753       4.28067         10.00000       
-50.89580       -54.98954       4.09374         10.00000       
-49.05910       -51.86553       2.80643         10.00000       
-51.34615       -54.51714       3.17099         10.00000       
-47.30996       -50.95216       3.64220         10.00000       
-46.96893       -52.86296       5.89403         10.00000       
-50.36092       -56.03517       5.67426         10.00000       
-49.83833       -55.62842       5.79009         10.00000       
-47.71672       -49.45655       1.73983         10.00000       
-47.53974       -52.08299       4.54325         10.00000       
-47.64640       -48.83079       1.18439         10.00000       
-50.55074       -53.27345       2.72271         10.00000       
-50.11478       -51.47766       1.36288         10.00000       
-51.10501       -54.09948       2.99447         10.00000       
-58.97839       -52.31506       6.66333         10.00000       
-50.32616       -51.39776       1.07161         10.00000       
-50.17990       -55.71621       5.53631         10.00000       
-50.82598       -51.54380       0.71782         10.00000       
-50.72446       -55.85184       5.12738         10.00000       
-50.20433       -50.74659       0.54226         10.00000       
-49.80947       -50.70042       0.89095         10.00000       
-49.25621       -50.27334       1.01713         10.00000       
-47.79597       -53.62819       5.83222         10.00000       
-50.93845       -52.58189       1.64343         10.00000       
-49.52855       -55.06096       5.53241         10.00000       
-48.57851       -51.33504       2.75653         10.00000       
-50.96585       -55.47818       4.51233         10.00000       
-48.75323       -51.19419       2.44095         10.00000       
-51.15768       -56.16144       5.00376         10.00000       
-49.64146       -52.42947       2.78801         10.00000       
-50.71342       -56.04675       5.33333         10.00000       
-47.86548       -49.64352       1.77805         10.00000       
-50.65416       -56.31534       5.66118         10.00000       
-50.80659       -56.23695       5.43036         10.00000       
-50.90478       -56.34313       5.43836         10.00000       
-50.17329       -55.49478       5.32149         10.00000       
-49.25851       -54.26401       5.00551         10.00000       
-47.44821       -49.29922       1.85100         10.00000       
-50.40186       -52.63051       2.22865         10.00000       
-48.35391       -52.24218       3.88827         10.00000       
-49.66672       -53.82889       4.16217         10.00000       
-49.78776       -51.78739       1.99963         10.00000       
-47.83643       -50.44829       2.61186         10.00000       
-47.20045       -48.45526       1.25481         10.00000       
-49.97579       -53.06248       3.08669         10.00000       
-51.52755       -55.83817       4.31062         10.00000       
-51.36366       -55.82694       4.46328         10.00000       
-51.40456       -55.28004       3.87548         10.00000       
-51.03701       -55.62415       4.58714         10.00000       
-48.63393       -53.23367       4.59974         10.00000       
-48.42443       -50.68450       2.26007         10.00000       
-47.97870       -53.32764       5.34894         10.00000       
-50.16156       -55.41775       5.25619         10.00000       
-51.32203       -52.55206       1.23003         10.00000       
-51.07527       -52.34760       1.27233         10.00000       
-50.63600       -52.03499       1.39898         10.00000       
-48.25639       -50.90785       2.65146         10.00000       
-47.76474       -50.61486       2.85012         10.00000       
-48.78988       -54.34890       5.55902         10.00000       
-58.46119       -53.44371       5.01748         10.00000       
-49.77633       -52.71647       2.94015         10.00000       
-49.89601       -51.57661       1.68061         10.00000       
-49.01706       -51.79432       2.77727         10.00000       
-51.49306       -54.42505       2.93199         10.00000       
-51.19409       -54.39759       3.20350         10.00000       
-58.25111       -52.42076       5.83035         10.00000       
-58.88228       -53.50022       5.38207         10.00000       
-58.67410       -52.53786       6.13624         10.00000       
-58.83948       -54.28932       4.55015         10.00000       
-49.83643       -53.64635       3.80992         10.00000       
-59.12896       -52.74992       6.37904         10.00000       
-58.64208       -54.20727       4.43481         10.00000       
-59.00755       -52.45869       6.54886         10.00000       
-59.33291       -53.52061       5.81230         10.00000       
-58.86314       -54.53916       4.32398         10.00000       
-58.70933       -54.63928       4.07005         10.00000       
-58.26542       -55.30507       2.96035         10.00000       
-58.98853       -51.09400       7.89453         10.00000       
-58.77976       -55.83849       2.94127         10.00000       
-58.32098       -52.83006       5.49092         10.00000       
-58.66985       -54.38561       4.28425         10.00000       
-58.63466       -55.02430       3.61036         10.00000       
