481
   8.711877891791E-01   2.661783636133E-01
   8.695981516877E-01   2.778100923278E-01
   8.678916538712E-01   2.892200947820E-01
   8.660659444812E-01   3.004024394251E-01
   8.641189287821E-01   3.113516161255E-01
   8.620487681213E-01   3.220625284928E-01
   8.598538780963E-01   3.325304857282E-01
   8.575329255210E-01   3.427511940796E-01
   8.550848243730E-01   3.527207479703E-01
   8.525087308783E-01   3.624356208569E-01
   8.498040378727E-01   3.718926558687E-01
   8.469703685615E-01   3.810890562716E-01
   8.440075697844E-01   3.900223757952E-01
   8.409157048789E-01   3.986905088567E-01
   8.376950462247E-01   4.070916807124E-01
   8.343460675416E-01   4.152244375616E-01
   8.308694360025E-01   4.230876366287E-01
   8.272660042183E-01   4.306804362421E-01
   8.235368021417E-01   4.380022859315E-01
   8.196830289322E-01   4.450529165585E-01
   8.157060448197E-01   4.518323304967E-01
   8.116073629967E-01   4.583407918759E-01
   8.073886415686E-01   4.645788169026E-01
   8.030516755844E-01   4.705471642674E-01
   7.985983891691E-01   4.762468256517E-01
   7.940308277752E-01   4.816790163417E-01
   7.893511505681E-01   4.868451659590E-01
   7.845616229583E-01   4.917469093154E-01
   7.796646092908E-01   4.963860773998E-01
   7.746625657006E-01   5.007646885018E-01
   7.695580331426E-01   5.048849394800E-01
   7.643536305998E-01   5.087491971786E-01
   7.590520484766E-01   5.123599899974E-01
   7.536560421791E-01   5.157199996192E-01
   7.481684258865E-01   5.188320528982E-01
   7.425920665138E-01   5.216991139119E-01
   7.369298778687E-01   5.243242761805E-01
   7.311848150010E-01   5.267107550539E-01
   7.253598687461E-01   5.288618802701E-01
   7.194580604608E-01   5.307810886849E-01
   7.134824369508E-01   5.324719171746E-01
   7.074360655878E-01   5.339379957132E-01
   7.013220296149E-01   5.351830406224E-01
   6.951434236378E-01   5.362108479969E-01
   6.889033492993E-01   5.370252873034E-01
   6.826049111343E-01   5.376302951534E-01
   6.762512126035E-01   5.380298692492E-01
   6.698453523004E-01   5.382280625024E-01
   6.633904203315E-01   5.382289773240E-01
   6.568894948634E-01   5.380367600843E-01
   6.503456388361E-01   5.376555957420E-01
   6.437618968365E-01   5.370897026411E-01
   6.371412921306E-01   5.363433274733E-01
   6.304868238495E-01   5.354207404047E-01
   6.238014643262E-01   5.343262303652E-01
   6.170881565792E-01   5.330641004980E-01
   6.103498119394E-01   5.316386637677E-01
   6.035893078161E-01   5.300542387249E-01
   5.968094855997E-01   5.283151454246E-01
   5.900131486951E-01   5.264257014975E-01
   5.832030606847E-01   5.243902183699E-01
   5.763819436153E-01   5.222129976319E-01
   5.695524764064E-01   5.198983275501E-01
   5.627172933755E-01   5.174504797231E-01
   5.558789828774E-01   5.148737058772E-01
   5.490400860537E-01   5.121722347997E-01
   5.422030956886E-01   5.093502694073E-01
   5.353704551681E-01   5.064119839477E-01
   5.285445575391E-01   5.033615213302E-01
   5.217277446640E-01   5.002029905853E-01
   5.149223064687E-01   4.969404644481E-01
   5.081304802807E-01   4.935779770650E-01
   5.013544502520E-01   4.901195218192E-01
   4.945963468670E-01   4.865690492747E-01
   4.878582465288E-01   4.829304652342E-01
   4.811421712229E-01   4.792076289089E-01
   4.744500882553E-01   4.754043511987E-01
   4.677839100604E-01   4.715243930780E-01
   4.611454940773E-01   4.675714640872E-01
   4.545366426914E-01   4.635492209248E-01
   4.479591032375E-01   4.594612661394E-01
   4.414145680633E-01   4.553111469181E-01
   4.349046746486E-01   4.511023539691E-01
   4.284310057793E-01   4.468383204955E-01
   4.219950897733E-01   4.425224212587E-01
   4.155984007544E-01   4.381579717281E-01
   4.092423589738E-01   4.337482273146E-01
   4.029283311756E-01   4.292963826865E-01
   3.966576310035E-01   4.248055711634E-01
   3.904315194482E-01   4.202788641880E-01
   3.842512053316E-01   4.157192708717E-01
   3.781178458260E-01   4.111297376120E-01
   3.720325470073E-01   4.065131477801E-01
   3.659963644388E-01   4.018723214748E-01
   3.600103037841E-01   3.972100153429E-01
   3.540753214475E-01   3.925289224604E-01
   3.481923252395E-01   3.878316722758E-01
   3.423621750666E-01   3.831208306109E-01
   3.365856836421E-01   3.783988997174E-01
   3.308636172173E-01   3.736683183878E-01
   3.251966963316E-01   3.689314621179E-01
   3.195855965789E-01   3.641906433191E-01
   3.140309493902E-01   3.594481115777E-01
   3.085333428292E-01   3.547060539605E-01
   3.030933224010E-01   3.499665953634E-01
   2.977113918722E-01   3.452317989018E-01
   2.923880140994E-01   3.405036663405E-01
   2.871236118680E-01   3.357841385613E-01
   2.819185687374E-01   3.310750960670E-01
   2.767732298916E-01   3.263783595187E-01
   2.716879029965E-01   3.216956903056E-01
   2.666628590592E-01   3.170287911459E-01
   2.616983332914E-01   3.123793067157E-01
   2.567945259745E-01   3.077488243057E-01
   2.519516033246E-01   3.031388745027E-01
   2.471696983584E-01   2.985509318958E-01
   2.424489117582E-01   2.939864158043E-01
   2.377893127344E-01   2.894466910270E-01
   2.331909398857E-01   2.849330686102E-01
   2.286538020565E-01   2.804468066340E-01
   2.241778791898E-01   2.759891110154E-01
   2.197631231750E-01   2.715611363258E-01
   2.154094586910E-01   2.671639866226E-01
   2.111167840428E-01   2.627987162940E-01
   2.068849719920E-01   2.584663309137E-01
   2.027138705793E-01   2.541677881071E-01
   1.986033039405E-01   2.499039984253E-01
   1.945530731131E-01   2.456758262272E-01
   1.905629568353E-01   2.414840905687E-01
   1.866327123354E-01   2.373295660967E-01
   1.827620761118E-01   2.332129839481E-01
   1.789507647034E-01   2.291350326521E-01
   1.751984754499E-01   2.250963590358E-01
